name,category2
Airtable,
Amazon Ads,
Amazon S3,
Amazon Seller Partner,
Amazon SQS,
Amplitude,
Apify Dataset,
Appstore,
Asana,
AWS CloudTrail,
Azure Table Storage,
Bamboo HR,
BigCommerce,
Bing Ads,
Braintree,
Cart.com,
Chargebee,
Chargify,
Chartmogul,
Close.com,
Confluence,
Customer.io,
Delighted,
Dixa,
Drift,
Facebook Marketing,
Freshdesk,
Freshsales,
Freshservice,
GitHub,
GitLab,
Google Ads,
Google Analytics,
Google Analytics 4,
Google Sheets,
Google Search Console,
Greenhouse,
Harness,
Harvest,
HubSpot,
Instagram,
Intercom,
Iterable,
Jenkins,
Jira,
Kafka,
Klaviyo,
Kustomer,
Lemlist,
Lever Hiring,
LinkedIn Ads,
Linnworks,
Mailchimp,
Marketo,
Microsoft teams,
Mixpanel,
Monday,
My Hours,
NetSuite,
Notion,
Okta,
OneDrive,
OneSignal,
Outreach,
PagerDuty,
Paypal Transaction,
Paystack,
PersistIq,
Pinterest,
Pipedrive,
Pipedrive,
Plaid,
PostHog,
PrestaShop,
Qualaroo,
QuickBooks,
Recharge,
Recurly,
Remote File,
OneDrive,
Salesforce,
Salesloft,
Search Metrics,
SendGrid,
Sentry,
SFTP,
Shortio,
Shopify,
Slack,
Smartsheets,
Snapchat Marketing,
Square,
Stripe,
SurveyMonkey,
Tempo,
Tiktok Marketing,
Trello,
Twilio,
Typeform,
VictorOps,
WooCommerce,
YouTube Analytics,
Zendesk Chat,
Zendesk Sunshine,
Zendesk Support,
Zendesk Support,
Zendesk Talk,
Zenloop,
Zoho CRM,
Zoom,
Zuora,
